sensor_id,lon,lat
61015,-118.45821,33.973427
89725,-117.13552,32.833138
67459,-122.15985,37.685425
8106,-121.25029,39.358765
83227,-118.36014,33.777584
2350,-119.06261,35.35662
76597,-121.915924,37.2575
6218,-118.24784,33.976486
76465,-118.0781,33.817127
53027,-121.66047,39.275417
117963,-121.19253,38.90656
76683,-122.43054,37.75002
126479,-122.27115,38.03546
67779,-122.04028,37.531944
69447,-122.547295,38.02728
59867,-119.91424,39.529728
104396,-122.35977,41.333347
12719,-121.09628,35.565147
97693,-122.43612,37.75615
86273,-122.20726,37.44544
121155,-120.3269,37.94004
134440,-119.799805,36.765697
111590,-122.480995,37.764866
80735,-122.29001,38.00578
78947,-120.76415,35.548256
87779,-122.22421,37.800835
58735,-122.369804,41.35421
87541,-122.85692,38.471684
85697,-121.798164,36.77025
64723,-122.31973,37.59078
118569,-116.36526,33.262234
111940,-122.42701,40.564762
56777,-122.01293,37.296753
65437,-122.14984,37.42254
18453,-122.09429,37.90381
38747,-123.01888,38.30899
60455,-122.23872,38.077187
82055,-122.280945,37.822727
69519,-122.888565,38.373947
97095,-116.685165,34.837963
122079,-121.21083,38.80148
18287,-122.27921,37.877968
72081,-122.23302,38.075485
80583,-117.12569,32.975758
103850,-122.244804,37.82204
66029,-122.31254,37.50588
5928,-120.59329,40.372356
78819,-121.955086,37.332996
7026,-119.6835,37.220757
9162,-121.58136,36.98806
2362,-118.222374,34.07663
37923,-121.969025,37.948944
134220,-119.799805,36.765697
104718,-122.40803,37.77786
16073,-122.14682,37.44796
70701,-122.40311,37.680096
19613,-122.028694,37.65457
69207,-122.26894,37.491245
55449,-121.927986,37.34718
112366,-122.03768,37.950676
17839,-122.022514,37.852924
28425,-119.67815,34.42438
119707,-122.12257,37.251595
53299,-121.943756,37.334896
72609,-122.19775,37.83784
71503,-122.220436,37.80683
119567,-122.225136,37.473755
12857,-119.026245,35.35489
6228,-118.35518,33.882393
103960,-117.62087,33.692684
109484,-119.96161,39.27086
70571,-123.03556,39.196877
54169,-121.955925,37.13286
53401,-122.06914,37.350384
86383,-119.63717,36.864895
113632,-120.87802,38.72019
72573,-121.64596,36.82974
86407,-122.47441,37.651596
61193,-122.15785,37.737286
75061,-122.52089,37.89937
29201,-118.23559,34.041237
90799,-120.12857,39.269474
3265,-122.21675,38.413654
118965,-122.57325,37.973976
120513,-122.52964,37.891087
135134,-121.64552,36.603237
104756,-120.26895,38.290203
97597,-121.93628,36.562534
74161,-122.20832,37.829018
20573,-122.12806,37.2462
53517,-122.06673,37.89947
28815,-115.14292,36.10986
4658,-122.015884,37.969025
51301,-122.42718,37.774918
73667,-122.14963,37.438644
63469,-122.12931,37.40954
62455,-122.2121,37.84863
113292,-124.140594,40.596416
90925,-122.18805,37.44597
19157,-122.10943,37.420197
120853,-122.08718,37.34216
15669,-122.518005,38.088905
86277,-122.455,38.595
70449,-122.53239,37.952034
68393,-122.35028,37.959187
63239,-121.03631,39.298756
98085,-120.74951,38.656475
73853,-122.29191,37.523396
110666,-122.12728,37.127342
114189,-122.19595,37.81265
81771,-119.78261,39.38183
68631,-122.03529,37.89065
22963,-122.164696,37.46546
37725,-122.473656,37.759575
64469,-121.962494,37.93879
37257,-122.03719,37.677303
17909,-123.35823,39.398743
86479,-121.30931,38.597675
