sensor_id,geo_feature,feature_type,buffer_size,sum(value),count
86369,highway,secondary_link,1000,69.77898314172602,
85641,highway,steps,1000,34.461309058628075,
83081,highway,secondary,1000,3716.7482143941193,
66029,highway,secondary_link,1000,27.59762031946721,
81541,highway,footway,100,662.2276194558194,
83081,highway,track,1000,690.6553063418186,
81081,highway,residential,1000,20491.67849162076,
72607,highway,service,1000,8111.42868131064,
72607,highway,steps,1000,54.620421032104105,
72607,highway,tertiary,500,612.3945270226457,
66029,waterway,stream,1000,1931.065701047924,
84721,highway,residential,1000,30630.414407842232,
84721,highway,residential,100,180.20482374883088,
81541,highway,secondary,1000,7520.411022112577,
66029,highway,tertiary,1000,1887.3675637428423,
8640,highway,cycleway,100,32.42047389754144,
66029,man_made,pier,1000,24.274107317538345,
72607,highway,traffic_signals,1000,,2.0
66029,highway,turning_circle,500,,4.0
8640,highway,turning_circle,1000,,19.0
81541,highway,crossing,1000,,360.0
86369,highway,bus_stop,1000,,5.0
66029,highway,stop,1000,,6.0
81081,highway,stop,100,,1.0
84721,highway,turning_circle,1000,,13.0
81081,highway,crossing,100,,4.0
72607,highway,turning_circle,500,,2.0
66029,highway,crossing,1000,,4.0
83081,highway,mini_roundabout,500,,1.0
83081,highway,traffic_signals,1000,,2.0
85641,highway,bus_stop,500,,1.0
8640,highway,traffic_signals,500,,1.0
83499,highway,stop,500,,9.0
84721,highway,bus_stop,1000,,29.0
83499,highway,turning_loop,1000,,1.0
83081,highway,mini_roundabout,1000,,1.0
85641,highway,traffic_signals,1000,,2.0
86369,highway,turning_circle,1000,,5.0
72607,highway,crossing,500,,6.0
81541,highway,bus_stop,500,,1.0
83499,highway,turning_circle,1000,,21.0
83081,highway,turning_circle,1000,,26.0
84721,highway,bus_stop,500,,8.0
83081,highway,crossing,1000,,4.0
72607,highway,crossing,1000,,12.0
72607,highway,bus_stop,1000,,16.0
81081,highway,turning_circle,500,,13.0
8640,highway,traffic_signals,1000,,2.0
85641,highway,turning_circle,1000,,1.0
81081,highway,turning_circle,1000,,42.0
8640,highway,stop,1000,,3.0
81541,highway,bus_stop,1000,,3.0
83081,highway,traffic_signals,500,,1.0
83081,highway,stop,1000,,12.0
8640,highway,stop,500,,1.0
84721,highway,traffic_signals,1000,,1.0
83499,highway,crossing,500,,16.0
81081,highway,traffic_signals,500,,2.0
81541,highway,turning_circle,1000,,5.0
8640,highway,turning_circle,500,,9.0
84721,highway,stop,1000,,2.0
