sensor_id,geo_feature,feature_type,buffer_size,count
78787,highway,turning_circle,1000,1
77049,highway,stop,1000,1
90819,highway,stop,500,5
64763,highway,bus_stop,1000,1
109718,highway,crossing,1000,13
101221,highway,trailhead,1000,1
76683,highway,crossing,500,27
73853,highway,bus_stop,1000,6
113206,highway,turning_circle,1000,1
113052,highway,crossing,500,1
70097,highway,steps,500,1
25507,highway,turning_circle,1000,20
51681,highway,bus_stop,1000,1
14973,highway,bus_stop,1000,31
72817,highway,bus_stop,1000,15
19157,highway,traffic_signals,1000,19
53299,highway,traffic_signals,1000,10
104672,highway,crossing,1000,413
19573,highway,give_way,1000,2
39663,highway,traffic_signals,1000,5
69909,highway,turning_circle,1000,1
114557,highway,turning_circle,1000,20
11844,highway,traffic_signals,1000,2
98865,highway,stop,1000,17
124099,highway,traffic_signals,100,1
98085,highway,turning_circle,500,1
2350,highway,traffic_signals,1000,18
53299,highway,crossing,100,5
98713,highway,bus_stop,1000,7
108138,highway,bus_stop,1000,10
84207,highway,stop,1000,5
37009,highway,stop,1000,15
37849,highway,bus_stop,100,1
64795,highway,stop,1000,1
104432,highway,crossing,100,8
69451,highway,crossing,1000,57
131077,highway,crossing,1000,2
51681,highway,bus_stop,500,1
32537,highway,turning_circle,500,1
32537,highway,stop,500,4
51565,highway,turning_loop,1000,2
6222,highway,stop,1000,2
84357,highway,motorway_junction,1000,1
22963,highway,traffic_signals,1000,13
37849,highway,traffic_signals,1000,39
112834,highway,traffic_signals,1000,20
114379,highway,crossing,500,2
19157,highway,turning_loop,1000,1
65437,highway,street_lamp,500,2
65259,highway,traffic_signals,500,3
62419,highway,turning_circle,500,5
26561,highway,give_way,1000,2
70007,highway,crossing,100,5
20547,highway,turning_circle,100,1
73533,highway,stop,1000,1
15123,highway,stop,1000,1
12857,highway,mini_roundabout,1000,1
103960,highway,turning_circle,1000,6
110792,highway,bus_stop,100,1
83041,highway,trailhead,1000,1
40827,highway,bus_stop,1000,10
79213,highway,crossing,1000,8
76377,highway,turning_circle,100,2
37849,highway,stop,100,1
57787,highway,traffic_signals,1000,24
65437,highway,bus_stop,1000,37
76683,highway,stop,100,1
56777,highway,stop,1000,22
18453,highway,traffic_signals,1000,4
75021,highway,crossing,500,2
